Line Item,Y1,Y2,Y3,Y4,Y5,Notes
Revenue,270000,1244000,4135000,11649000,25713800,From REVENUE_BUILD
COGS (hosting+tooling),21600,99520,330800,931920,2057104,"=Revenue*(6%+2%)"
Gross Profit,248400,1144480,3804200,10757080,23656696,"Revenue - COGS"
Gross Margin %,0.92,0.92,0.92,0.92,0.92,"Assumes COGS 8%; adjust"
OpEx — Sales & Marketing,500000,1100000,2400000,4430000,7600000,"Placeholder; tie to headcount + program spend"
OpEx — Research & Development,550000,850000,1350000,2100000,3200000,"From MARKET_SIZING_MODEL R&D cost"
OpEx — Customer Success,240000,480000,1020000,1850000,3200000,"From MARKET_SIZING_MODEL CS cost"
OpEx — General & Administrative,210000,370000,630000,1020000,1700000,"From MARKET_SIZING_MODEL G&A cost"
Total OpEx,1500000,2800000,5400000,9400000,15700000,"From MARKET_SIZING_MODEL total OpEx"
EBITDA,-1251600,-1655520,-1595800,1317080,7956696,"Revenue - COGS - OpEx"
