Campaign,Ad Group,Keyword,Match Type,Max CPC,Status,Notes
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,[wcb physiotherapy edmonton],Exact,5.00,Active,High-intent exact match from PDF
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,[work injury physiotherapy],Exact,4.50,Active,High-intent exact match from PDF
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"wcb approved physiotherapy",Phrase,4.00,Active,Phrase match from PDF
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"return to work physiotherapy",Phrase,4.00,Active,High-intent phrase
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury,"work injury rehab clinic",Phrase,4.00,Active,Rehab focus
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"occupational injury physiotherapy",Phrase,3.50,Active,B2B employer targeting
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"modified duties physiotherapy",Phrase,3.50,Active,B2B employer angle
AIM - Search - Lead Generation - Feb 2026,WCB Work Injury Employer,"workplace injury rehab",Phrase,3.50,Active,B2B workplace focus
AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,[car accident physiotherapy],Exact,5.50,Active,High-intent MVA exact
AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,[mva physiotherapy edmonton],Exact,5.50,Active,Local MVA exact
AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"whiplash physiotherapy",Phrase,5.00,Active,Specific injury
AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"post accident rehab",Phrase,4.50,Active,Rehab focus
AIM - Search - Lead Generation - Feb 2026,MVA Motor Vehicle Accident,"insurance physiotherapy",Phrase,4.00,Active,Insurance angle
AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,[physiotherapy edmonton],Exact,4.00,Active,Core exact match
AIM - Search - Lead Generation - Feb 2026,Physiotherapy Edmonton,[physiotherapist edmonton],Exact,4.00,Active,Core exact match
